koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_impact,koi_impact_err1,koi_duration,koi_depth,koi_depth_err1,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,ra,dec
0,0,0,21.81295996,0.053,0.394,4.3791,1175.4,35.8,639.0,39.33,1.0,5601.0,294.77686,40.15374
0,1,0,7.91936937,0.733,0.01,3.3148,15148.0,49.8,814.0,104.0,1.0,5690.0,283.53845,40.217999
0,0,0,15.37562369,0.692,0.033,3.3169,15337.0,114.0,600.0,30.54,1.0,4986.0,283.25354,40.358189
0,0,0,8.10363271,0.047,0.409,3.161,887.9,24.5,687.0,52.82,1.0,4861.0,283.22141,40.421828999999995
0,0,0,4.71510843,0.258,0.195,2.506,417.5,22.0,823.0,108.84,2.0,4861.0,283.22141,40.421828999999995
0,0,0,6.365839713,0.524,0.009,2.9721,780.7,13.1,914.0,165.33,1.0,5776.0,291.14951,40.420521
0,0,1,5.97581754,0.941,0.017,3.065,962.4,23.5,1047.0,284.25,1.0,6108.0,294.22397,40.417858
0,0,1,2.4467373169999997,1.241,1.295,4.7211,1177.9,12.7,1261.0,597.19,1.0,5764.0,298.96112,40.862808
0,0,0,3.04033046,0.736,0.013,1.8411,10859.0,25.8,1021.0,257.29,1.0,5035.0,299.3161,40.822379999999995
0,0,0,15.33528675,0.773,0.006,3.897,3081.4,39.0,610.0,32.67,2.0,5251.0,292.23676,41.085879999999996
0,0,0,7.95825328,0.706,0.237,4.377,50.0,3.7,1074.0,314.15,4.0,5847.0,297.02826,48.208611
0,0,0,31.33046135,0.798,0.021,5.176,5073.8,48.4,481.0,12.61,1.0,5251.0,292.23676,41.085879999999996
0,1,0,3.9043425,0.709,0.011,3.831,16228.0,62.1,1104.0,351.05,1.0,5810.0,294.05676,40.549679
0,1,0,9.286358079,0.377,0.009,3.49949,44791.0,32.8,796.0,95.03,1.0,5670.0,294.74396,40.53392
0,1,0,3.951405455,1.276,6.027,2.1862,2453.9,25.2,1133.0,388.71,1.0,6046.0,295.50439,40.505489000000004
0,0,0,23.65369415,0.008,0.169,8.2183,3341.8,13.2,731.0,67.65,1.0,5739.0,287.89713,40.637821
0,0,0,13.23352214,0.014,0.399,6.7372,504.6,10.8,888.0,146.67,2.0,5739.0,287.89713,40.637821
0,0,0,6.15560285,0.235,0.204,4.9843,285.0,8.6,1146.0,406.94,3.0,5739.0,287.89713,40.637821
0,0,0,2.090811305,0.746,0.053,3.388,115.9,6.4,1642.0,1718.04,5.0,5739.0,287.89713,40.637821
